Card,TransactionDate,EffectiveDate,Description,Cost
Chase,6/18/16,6/20/16,MCDONALD'S F22509,-7.55
Chase,6/18/16,6/20/16,VESUVIO,-135.2
Chase,6/17/16,6/19/16,NIKE GILROY FS 37,-22.84
Chase,6/17/16,6/19/16,Amazon.com,-61.93
Chase,6/16/16,6/17/16,Amazon.com,-131.52
Chase,6/15/16,6/16/16,BART-CLIPPER CIVIC CTR,-24
Chase,6/15/16,6/15/16,AMAZON MKTPLACE PMTS,76.11
Chase,6/11/16,6/13/16,REI #83 SAN FRANCISCO,-106.02
Chase,6/9/16,6/12/16,CAL ACADEMY   23063043,-11.88
Chase,6/7/16,6/8/16,EMBARCADERO YMCA,56
Chase,6/7/16,6/8/16,YMCA OF SAN FRANCISCO,9
Chase,6/6/16,6/6/16,Payment Thank You-Mobile,581.69
Chase,6/5/16,6/7/16,SAFEWAY  STORE00011197,-23.98
Chase,6/5/16,6/6/16,WAL-MART #2648,-18.81
Chase,6/1/16,6/2/16,BART-CLIPPER CIVIC CTR,-20
Chase,5/31/16,6/2/16,SAFEWAY  STORE00015073,-103.89
Chase,5/29/16,5/31/16,SAFEWAY  STORE00017111,-216.02
Chase,5/29/16,5/30/16,OLES WAFFLE SHOP,-82.97
Chase,5/29/16,5/30/16,BEVERAGES & MORE #71,-105.38
Chase,5/29/16,5/30/16,BIERGARTEN,-15
Chase,5/27/16,5/27/16,Payment Thank You-Mobile,686.76
Chase,5/26/16,5/29/16,GOODWILL INDUSTRIE,-38.43
Chase,5/25/16,5/26/16,EMBARCADERO YMCA,-100
Chase,5/25/16,5/26/16,PAYPAL *FANDANGO,-23.19
Chase,5/24/16,5/25/16,BART-CLIPPER CIVIC CTR,-20
Chase,5/24/16,5/25/16,STATE FARM,-20.83
Chase,5/23/16,5/24/16,EB *MAKER FAIRE BAY AR,-60
Chase,5/22/16,5/22/16,AMAZON MKTPLACE PMTS,-148.49
Chase,5/21/16,5/22/16,Amazon.com,-12.72
Chase,5/21/16,5/22/16,AMAZON MKTPLACE PMTS,-76.11
Chase,5/21/16,5/23/16,GOOGNFC* WALGREENS,-7.36
Chase,5/21/16,5/22/16,Amazon.com,7.6
Chase,5/20/16,5/22/16,BREAKING BREAD,-10.33
Chase,5/19/16,5/20/16,WALGREENS #4558,-63.16
Chase,5/18/16,5/20/16,BUFFALO WILD WINGS,-24
Chase,5/18/16,5/18/16,Payment Thank You-Mobile,681.56
Chase,5/17/16,5/18/16,KROGER 346,-8.51
Chase,5/17/16,5/18/16,YOGLI MOGLI - GA TECH,-2.75
Chase,5/17/16,5/19/16,THE HOME DEPOT 121,-20.3
Chase,5/17/16,5/18/16,WAL-MART #3775,-68.38
Chase,5/16/16,5/17/16,HELIXSLEEP.COM,-550
Chase,5/16/16,5/18/16,GA TECH PARKING-TECH SQ,-1.5
Chase,5/16/16,5/18/16,SHELL OIL 57542377106,-26.73
Chase,5/16/16,5/16/16,Payment Thank You-Mobile,1134.91
Chase,5/16/16,5/17/16,BATES HARDWARE CO,-23.05
Chase,5/15/16,5/17/16,SHELL OIL 57546570201,-3.18
Chase,5/15/16,5/16/16,CHEVRON 0307588,-5.33
Chase,5/14/16,5/15/16,Amazon.com,-7.6
Chase,5/14/16,5/15/16,Amazon.com,-3.27
Chase,5/14/16,5/16/16,CITY OF ISLE OF PALMS,-10
Chase,5/14/16,5/15/16,Amazon.com,-37.34
Chase,5/14/16,5/15/16,ISLAND JOES,-16.5
Chase,5/13/16,5/15/16,KEH,-974.14
Chase,5/13/16,5/15/16,USPS 12047100128501559,-1.35
Chase,5/13/16,5/15/16,SHELL OIL 57540670205,-27.91
Chase,5/13/16,5/13/16,Payment Thank You-Mobile,413.38
Chase,5/13/16,5/16/16,KORU MASSAGE THERAPY,-90
Chase,5/13/16,5/15/16,BODYBUILDING.COM,-41.8
Chase,5/12/16,5/15/16,GA TECH ONLINE ORDER,-25
Chase,5/11/16,5/12/16,SHUTTERFLY,-45.96
Chase,5/10/16,5/11/16,USPS 12639295518501494,-1.1
Chase,5/8/16,5/9/16,WHOLEFDS BCF 10094,-48.76
Chase,5/8/16,5/9/16,OREILLY AUTO  00020875,-2.13
Chase,5/8/16,5/9/16,CHEVRON 0352356,-29.93
Chase,5/6/16,5/8/16,FIVE GUYS #98,-14.81
Chase,5/5/16,5/6/16,CVS/PHARMACY #02082,-10.93
Chase,5/5/16,5/6/16,EMBARCADERO YMCA,-56
Chase,5/5/16,5/5/16,AMAZON MKTPLACE PMTS,-40.95
Chase,5/5/16,5/8/16,CHICK-FIL-A #01262,-12.93
Chase,5/5/16,5/6/16,WM SUPERCENTER #3775,-130.37
Chase,5/5/16,5/5/16,Payment Thank You - Web,1460.17
Chase,5/3/16,5/4/16,IKEA ATLANTA,-43.19
Chase,5/3/16,5/5/16,TACO MAC 24,-19.51
Chase,5/3/16,5/4/16,AMAZON MKTPLACE PMTS,-10.99
